# id	ЧИСЛО	АДРЕС	ЦИТАТА
V0002	27 минут репетиции на 4 слайда — темп прохода дека	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 38–38	запись уже, к сожалению, 27 минут, хотя мы всего на четвертом слайде
V0008	2 пункта на уровень (первый и второй, третий и четвёртый) — шаг нумерации в сетке	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 78–86	я бы поменял бы порядок нумераций. Я бы делал не сверху снизу, слева направо, а слева направо, сверху вниз. То есть, первый и второй на одном уровне, третий и четвертый на одном уровне и так далее. Вот. Потому что, типа,
V0011	1 колонка вместо нескольких — вёрстка слайда с малым содержанием	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 98–104	если, в принципе, нечего писать тебе, да, если ты понимаешь то, что, как бы, тут нечего, не на что тратить. Текст, то ничего, сделай меньше текста, просто можно сделать просто в одну колонку, да, и все, растянуть это, и 
V0016	2–3 фразы — объём, в который должен уложиться абзац на слайде	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 144–148	В правильной стилистике, там, двумя-тремя фразами, что, как бы, что, значит, мы требуем именно, то есть, доказательства бывают разные: через формулу, по индукции, через бином Ньютона.
V0028	6 элементов; коробка не 4, а 2 на 4 — форма и размер контейнера на иллюстрации	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 236–240	если ты выбрал 6 элементов, хотя можно было бы сделать коробку более хитрую какую-нибудь. Я бы сделал коробку там, ну, типа не 4, а там, например, 2 на 4. Да, это можно как-то хитрее сделать.
V0029	2 чёрных, 1 красная, 3 белых точки — разные мощности классов на иллюстрации	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 240–242	Ну, если ты хочешь такую картинку, окей, но тогда ты сделай хотя бы, чтобы в одном было 2, ну, чтобы черных 2 точки, красных 1, например, белых 3. Сделай так хотя бы.
V0032	на рисунке остаются только числа 2 и 1 — предельный объём подписей	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 250–250	мы не подписываем. Это не нужно для иллюстрации. 2 и 1 нужно. Больше ничего не нужно.
V0039	50 минут фактически против 90 плановых; начало на 10 минут позже; около часа вместе с Серп	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#0. ГЛАВНОЕ, строки 8–10	ГЛАВНОЕ: лекция кончилась за 50 минут вместо 90 … Начали на 10 минут позже, отговорили примерно 50 минут, с Серпинским и Паскалем — около часа.
V0040	50 минут — верхняя оценка хронометража нынешнего содержания	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#0. ГЛАВНОЕ, строки 11–12	Владелец при этом ускорился и в какой-то момент перестал задавать вопросы в зал, то есть 50 минут — оценка сверху для нынешнего содержания, а не снизу.
V0042	$n=4$ — конкретный случай, который считают руками до общей формулы	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#0. ГЛАВНОЕ, строки 21–23	Сначала конкретное число или картинка, потом общая формула. Всегда.
V0045	100 шагов вместо буквы $2n$	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#1. Сквозные правки, строки 35–36	в постановке — убрать. Спрашиваем про 100 шагов, конкретное число.
