# id	источник	заголовок	АДРЕС	КАСАЕТСЯ	КЛАСС	ЦИТАТА
V0001	teorkat-vvedenie/repeticia/akt-1-razbor.md	Порядок работы на репетиции: сначала наговариваю рассказ, потом комментирую	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 35–35	процедура	замечание	стоп. Слайд 4. Да, с такой скоростью, конечно. Слайд 4. Сначала наговариваю, что
V0002	teorkat-vvedenie/repeticia/akt-1-razbor.md	27 минут записи, а мы всего на четвёртом слайде — так нельзя	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 38–38	процедура	замечание	запись уже, к сожалению, 27 минут, хотя мы всего на четвертом слайде
V0003	teorkat-vvedenie/repeticia/akt-1-razbor.md	Это не проблема, но надо подумать и, может быть, поправить	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 1 — [01:19], слайд: дек 1 — обложка «Зачем нужны категории», строки 44–46	иное	спорное	котором у нас все работает, но это не проблема. Просто надо подумать, может быть, стоит это как-то поправить.
V0004	teorkat-vvedenie/repeticia/akt-1-razbor.md	Визитка пропала — на её месте я буду спрашивать зал	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 2 — [04:30], слайд: дек 2 — визитка, строки 50–54	структура лекции	спорное	тут должна быть обложка, вот, может быть, даже в этом, как бы, месте нужно что-то такое сказать, визитка, визитка пропала, значит, да, визитка пропала, значит, ну, и вместо визитки стоит, то есть, на месте визитки я скажу, наверное, надо спросить, во-первых,
V0005	teorkat-vvedenie/repeticia/akt-1-razbor.md	К одному слайду очень много комментариев, и они довольно дикие на мой вкус	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 58–62	процедура	спорное	стоп, я закончил этот слайд. Тут, конечно, очень много комментариев, и они довольно дикие, на мой вкус.
V0006	teorkat-vvedenie/repeticia/akt-1-razbor.md	Сократить — хорошо, но стилистика при сокращении вышла ужасная	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 62–64	текст	замечание	ну, по стилю, то есть, ты попытался сократить что-то и сделал... Это хорошо, что ты сократил, но стилистика ужасная.
V0007	teorkat-vvedenie/repeticia/akt-1-razbor.md	Заголовок, который пересказывает видимое на слайде, не нужен	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 68–72	текст	замечание	Да, во-первых, семь тождеств. Обе стороны считают комбинаторные, это жуткая заголовок. Он непонятно что проясняет, то есть, зачем ты... Типа, что человек сам не видит, что их семь. То есть, непонятно, это не нужно.
V0008	teorkat-vvedenie/repeticia/akt-1-razbor.md	Нумерация в сетке — слева направо, сверху вниз, чтобы в первой строчке были простые	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 78–86	визуал	спорное	я бы поменял бы порядок нумераций. Я бы делал не сверху снизу, слева направо, а слева направо, сверху вниз. То есть, первый и второй на одном уровне, третий и четвертый на одном уровне и так далее. Вот. Потому что, типа, в первой строчке, чтобы были простые.
V0009	teorkat-vvedenie/repeticia/akt-1-razbor.md	Ужасный абзац, ужасная формулировка	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 88–90	текст	замечание	Вот. Дальше. Следующий абзац. Ужасный абзац. Доказать понятно, доказать комбинаторно тоже. Ничего не... Ничего... Ужасная формулировка.
V0010	teorkat-vvedenie/repeticia/akt-1-razbor.md	Текст был написан на черновике, а сократился в очень странном формате	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 94–96	текст	замечание	Ну, тут должен быть какой-то текст. Он у нас, как бы, был написан на черновике. Просто он как-то сократился в очень странном формате.
V0011	teorkat-vvedenie/repeticia/akt-1-razbor.md	Нечего писать — делай меньше текста: одна колонка, растянуть, увеличить шрифт и больше ничего	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 98–104	визуал	замечание	если, в принципе, нечего писать тебе, да, если ты понимаешь то, что, как бы, тут нечего, не на что тратить. Текст, то ничего, сделай меньше текста, просто можно сделать просто в одну колонку, да, и все, растянуть это, и увеличить шрифт, и больше вообще ничего не писать, да.
