# id	файл	заголовок	АДРЕС	ЦЕНА
I0001	KORPUS-2026-07-10_orkestracia.md	Параллельный заход держал `.git/index.lock` в момент старта этого захода	_studio/zhurnal/2026-07-10_orkestracia/kod_bootstrap.md#ПЛАН, строка 85	~10 минут ожидания git-лока заходом-соседом, остальное — быстро
I0002	KORPUS-2026-07-10_orkestracia.md	Новые файлы захода (`PAPKA-LEKCII.md`, `bootstrap_lekcia.py`) остались незакоммиченными, м	_studio/zhurnal/2026-07-10_orkestracia/kod_bootstrap.md#ОТЧЁТ, строки 119–123	НЕ НАЗВАНА
I0003	KORPUS-2026-07-10_orkestracia.md	Ни заход, ни прочитанные DOK не называют, куда физически кладётся папка `<лекция>/`	_studio/zhurnal/2026-07-10_orkestracia/kod_bootstrap.md#ВОПРОСЫ, строка 102	НЕ НАЗВАНА
I0004	KORPUS-2026-07-10_orkestracia.md	К моменту старта этого захода накопилась незакоммиченная работа Cowork — потребовался отде	_studio/zhurnal/2026-07-10_orkestracia/kod_gid.md#ЗАДАНИЕ, строки 18–25	НЕ НАЗВАНА
I0005	KORPUS-2026-07-10_orkestracia.md	Точка отката уже существовала («создана в предыдущей частичной попытке этого захода»), пер	_studio/zhurnal/2026-07-10_orkestracia/kod_gid.md#ПЛАН, строка 78	НЕ НАЗВАНА
I0006	KORPUS-2026-07-10_orkestracia.md	Путь к трекеру в тексте самого захода был бы битой ссылкой, если брать буквально из места,	_studio/zhurnal/2026-07-10_orkestracia/kod_gid.md#ПЛАН, строка 80	НЕ НАЗВАНА
I0007	KORPUS-2026-07-10_orkestracia.md	Команда `rm` по glob-маске `.pyc` молча не сработала из-за zsh-nomatch — недоудаление тест	_studio/zhurnal/2026-07-10_orkestracia/kod_gid.md#ОТЧЁТ, строка 115	НЕ НАЗВАНА
I0008	KORPUS-2026-07-10_orkestracia.md	`00-KONVEJER.md` утверждает, что устаревшая ссылка есть «в арках 06/09» — грепом по `09-il	_studio/zhurnal/2026-07-10_orkestracia/kod_katalog.md#ОТЧЁТ, строки 99–101	НЕ НАЗВАНА
I0009	KORPUS-2026-07-10_orkestracia.md	Микрофункция «tar-снапшот» — авто-хук по факту, но собственного id в реестре H1–H5 `GEJTY.	_studio/zhurnal/2026-07-10_orkestracia/kod_katalog.md#ОТЧЁТ, строка 93	НЕ НАЗВАНА
I0010	KORPUS-2026-07-10_orkestracia.md	Внешний скилл `math-russian-terminology` (запрещён решением Р17) всё ещё живьём вызывается	_studio/zhurnal/2026-07-10_orkestracia/kod_katalog.md#ОТЧЁТ, строка 100	НЕ НАЗВАНА
I0011	KORPUS-2026-07-10_orkestracia.md	Физическое место хранения состояния Фазы I нигде явно не зафиксировано — исполнитель изобр	_studio/zhurnal/2026-07-10_orkestracia/kod_spina.md#ПЛАН, строка 76	НЕ НАЗВАНА
I0012	KORPUS-2026-07-10_orkestracia.md	Точные ключи полей `brief.md` подставлены «по смыслу» из DOK, без проверки по живому `01-b	_studio/zhurnal/2026-07-10_orkestracia/kod_spina.md#ВОПРОСЫ, строка 95	НЕ НАЗВАНА
I0013	KORPUS-2026-07-10_orkestracia.md	`ARHITEKTURA-FABRIKI.md §Форматы и нюансы` содержит ту же устаревшую формулировку, что и п	_studio/zhurnal/2026-07-10_orkestracia/kod_spina.md#ВОПРОСЫ, строка 96	НЕ НАЗВАНА
I0014	KORPUS-2026-07-10_orkestracia.md	Конвенция `faza1/`, изобретённая заходом-предшественником, оказалась заменённой — реальный	_studio/zhurnal/2026-07-10_orkestracia/kod_treker.md#ЗАДАНИЕ, строки 18–19	НЕ НАЗВАНА
I0015	KORPUS-2026-07-10_orkestracia.md	Формат ключей `brief.md`, заложенный заходом-предшественником как «`ключ:` в начале строки	_studio/zhurnal/2026-07-10_orkestracia/kod_treker.md#ПЛАН, строка 79	НЕ НАЗВАНА
I0016	KORPUS-2026-07-10_orkestracia.md	`bootstrap_lekcia.py` пишет поле 9 брифа буквально англ. `yes`/`no`, тогда как контракт до	_studio/zhurnal/2026-07-10_orkestracia/kod_treker.md#ВОПРОСЫ, строка 104	иначе расхождение тиражируется на каждую новую лекцию (дословно из источника)
I0017	KORPUS-2026-07-10_orkestracia.md	Признак-на-диске гейта G5 в `GEJTY.md` указывает на `src/`, тогда как `PAPKA-LEKCII.md` от	_studio/zhurnal/2026-07-10_orkestracia/kod_treker.md#ВОПРОСЫ, строка 109	НЕ НАЗВАНА
I0018	KORPUS-2026-07-10_orkestracia.md	Гейты G5/G7 в `GEJTY.md` ожидают поля `register:`/`word_budget_per_slide:` в `src/brief.md	_studio/zhurnal/2026-07-10_orkestracia/kod_treker.md#ВОПРОСЫ, строка 110	НЕ НАЗВАНА
I0019	KORPUS-2026-07-10_sborka-konvejera.md	Заход перенёс 7 из 8 пунктов дельты; пункт №6 (таблицы RUKOVODSTVO-zahodami §8/§2) физичес	_studio/zhurnal/2026-07-10_sborka-konvejera/kod_absorb-prizemlenie.md#ОТЧЁТ, строки 64–67	«КРИТЕРИЙ (b) ЧАСТИЧНО ПРОВАЛЕН... пункт №6 физически НЕ перенесён — правка этого файла вн
I0020	KORPUS-2026-07-10_sborka-konvejera.md	Живой план «обкатать на Фибоначчи/теорвере/Маркове» сохранён только текстом в footer новог	_studio/zhurnal/2026-07-10_sborka-konvejera/kod_absorb-prizemlenie.md#ВОПРОСЫ, строка 60	НЕ НАЗВАНА
I0021	KORPUS-2026-07-10_sborka-konvejera.md	Чтение overlay.css с base64-блоком шрифтов KaTeX раздуло контекст и было автоматически обр	_studio/zhurnal/2026-07-10_sborka-konvejera/kod_base-buffon.md#ОТЧЁТ, строки 172–178	~166 980 токенов на первые 23 860 символов (base64-блок KaTeX-шрифтов токенизируется крайн
