mat-pervaya-kategoriya | пример | линейная-алгебра | методика-курса | Mat: объекты — натуральные числа, стрелки n→m — матрицы m×n, композиция — умножение; аксиомы зал уже проверил в школе | средняя | новый-взгляд | нет | нет | категория | несёт-язык | мат · берёт · черновик | mat-ne-nuzhna-zapis; mat-biproduct; kategoriya-opredelenie; set-kategoriya
mat-ne-nuzhna-zapis | находка | линейная-алгебра | методика-курса | В Mat матрица не «запись линейного отображения», а сам морфизм; мостик к Vect можно не строить вовсе | средняя | новый-взгляд | К1 | классиф | контекст-без-языка | контекст | мат · берёт · черновик | mat-pervaya-kategoriya; vect-lovushka
chum-kategoriya | пример | теория-чисел | логика | Ч.у. множество как категория (≤1 стрелки); на делимости ℕ даёт произведение=НОД, копроизведение=НОК, экспоненту=импликацию | средняя | новый-взгляд | К1 | классиф | категория | несёт-язык | мат · берёт · черновик | nod-universalnoe; heyting-vyrozhdennyj-ccc; hasse-scena
set-kategoriya | пример | теория-множеств | методика-курса | Set — множества и функции; давать ВТОРЫМ после Mat, иначе зал зацементирует «категория = множества со структурой» | средняя | нет | нет | нет | категория | несёт-язык | мат · берёт · черновик | mat-pervaya-kategoriya; koproizvedenie-diz-obedinenie; eksponenta-2v3
monoid-odin-obekt | пример | теория-групп | теория-категорий | Моноид — категория с одним объектом, группа — группоид с одним; вся информация в стрелках, но к CCC не ведёт | средняя | новый-взгляд | нет | нет | контекст-без-языка | контекст | мат · приручение · черновик | kategoriya-opredelenie
kobordizmy-kameo | пример | топология | — | Кобордизмы: объекты — наборы окружностей, стрелки — поверхности (штаны); чистая картинка стрелки, которую нельзя вычислить | высокая-геометричная | незнакомый-объект | нет | нет | контекст-без-языка | контекст | нп · вне · черновик | mat-pervaya-kategoriya
vopros-chetyre-teoremy | мотивация | теория-множеств | линейная-алгебра | «Декартово произведение, НОД, пересечение, прямая сумма — четыре теоремы или одна?»; вопрос на 10-й минуте, ответ через лекцию | средняя | новый-взгляд | К1 | классиф | универсальное-свойство | несёт-язык | мат · берёт · черновик | universalnoe-svojstvo; proizvedenie-opredelenie; nod-universalnoe
nod-universalnoe | мотивация | теория-чисел | — | Школьное определение НОД уже и есть универсальное свойство: «общий» — две проекции, «наибольший» — единственность пропускания | средняя | новый-взгляд | К1 | формализовать | универсальное-свойство | несёт-язык | мат · берёт · черновик | chum-kategoriya; vopros-chetyre-teoremy; proizvedenie-opredelenie; hasse-scena
galiley-proizvedenie | мотивация | физика | геометрия | Галилей: движение снаряда распадается на горизонталь и вертикаль; две тени точки — буквально ⟨f,g⟩ за 300 лет до Эйленберга | высокая-геометричная | новый-взгляд | нет | нет | произведение | несёт-язык | нп · берёт · готово | proizvedenie-opredelenie; universalnoe-svojstvo; scena-dve-teni
koproizvedenie-diz-obedinenie | находка | теория-множеств | — | Копроизведение в Set — дизъюнктное объединение, а не ∪: объединение забывает, откуда пришёл элемент, инъекции невосстановимы | средняя | новый-взгляд | К1 | формализовать | универсальное-свойство | несёт-язык | мат · берёт · черновик | dvojstvennost-princip; set-kategoriya; proizvedenie-opredelenie
mat-biproduct | пример | линейная-алгебра | — | В Mat/Vect произведение и копроизведение совпадают: n ⊕ m = n + m; проекции и вложения — буквально блочные матрицы [I 0] | средняя | новый-взгляд | К1 | классиф | контекст-без-языка | контекст | мат · приручение · черновик | dvojstvennost-princip; mat-pervaya-kategoriya; vect-lovushka
eksponenta-2v3 | сцена | теория-множеств | комбинаторика | 2³ = 8: рисуются восемь табличек из трёх строк по два значения, зал пересчитывает сам — экспонента вводится до слова «экспонента» | высокая-геометричная | новый-взгляд | нет | нет | экспонента | несёт-язык | мат · берёт · черновик | eksponenta-opredelenie; zakon-stepenej-karrirovanie; kategorifikaciya-arifmetiki
zakon-stepenej-karrirovanie | утверждение | комбинаторика | информатика-и-типы | (x^y)^z ≅ x^(y·z) — это в точности каррирование: школьный закон степеней оказался теоремой про функции; парная x^(y+z) ≅ x^y × x^z | средняя | новый-взгляд | К1 | аналогия | экспонента | несёт-язык | мат · берёт · черновик | karrirovanie; eksponenta-2v3; kategorifikaciya-arifmetiki
vect-lovushka | находка | линейная-алгебра | методика-курса | Vect не декартово замкнута: Hom(V,W) похож на экспоненту, но замкнутость Vect живёт при ⊗, не при ×; зона CCC не сядет на линал | средняя | новый-взгляд | К1 | классиф | контекст-без-языка | контекст | мат · приручение · черновик | vect-ne-ccc; mat-biproduct
vect-ne-ccc | утверждение | линейная-алгебра | — | В CCC X × 0 ≅ 0, а в Vect V ⊕ 0 = V ⇒ V ≅ 0 для всех V, абсурд; доказательство в строку, рифмуется со школьным x·0 = 0 | средняя | новый-взгляд | К1 | короче | CCC | несёт-язык | мат · берёт · черновик | vect-lovushka; nachalnyj-obekt; karrirovanie
heyting-vyrozhdennyj-ccc | утверждение | логика | алгебра-общая | Бидекартово замкнутое ч.у. множество = алгебра Гейтинга, экспонента = импликация: z ≤ (x ⇒ y) ⟺ z ∧ x ≤ y, логика видна голой | средняя | незнакомый-объект | К2 | аналогия | КХЛ | несёт-язык | мат · берёт · черновик | chum-kategoriya; ccc-opredelenie; iskl-tretie-lomaetsya; curry-howard-lambek
iskl-tretie-lomaetsya | сцена | логика | топология | Открытые множества прямой: U — прямая без точки, ¬U = ∅, ¬¬U = вся прямая; исключённое третье ломается по геометрии за 60 секунд | высокая-геометричная | новый-взгляд | К1 | перенос | контекст-без-языка | контекст | мат · берёт · черновик | heyting-vyrozhdennyj-ccc; chum-kategoriya
curry-howard-lambek | мотивация | логика | информатика-и-типы | Интуиционистская логика ≡ просто типизированное λ-исчисление ≡ CCC; × — «и», экспонента — «⇒», объекты — формулы, стрелки — док-ва | средняя | новый-взгляд | К1+К2 | перенос | КХЛ | несёт-язык | мат · берёт · черновик | ccc-opredelenie; zachem-zakryvat; heyting-vyrozhdennyj-ccc; chl
distributivnost-ccc | утверждение | комбинаторика | теория-множеств | CCC с копроизведениями дистрибутивна: a×(b+c) ≅ a×b + a×c; в Set явная биекция руками, общий факт — через сопряжения, без док-ва | средняя | новый-взгляд | К1 | аналогия | контекст-без-языка | контекст | мат · берёт/вне · черновик | kategorifikaciya-arifmetiki; ccc-opredelenie
