# id	ось	причина(обязательна для «не ложится»)
# Заполняет заход kod_razmetka-osej.md
I0001	З
I0002	А	СОМНЕНИЕ: З — диагноз записи указывает на задание («момент/ответственный за коммит не определён»), но сама поломка — незакоммиченная зона
I0003	А
I0004	З
I0005	А
I0006	А
I0007	С
I0008	В
I0009	В
I0010	В	СОМНЕНИЕ: Ф — решение Р17 не проведено в живые файлы; читается и как «решение не вернулось в канон фабрики»
I0011	А
I0012	И	СОМНЕНИЕ: А — файл с ответом (01-brief/ZAHOD.md) был вне списка чтения захода, то есть зона чтения не содержала источника
I0013	В	СОМНЕНИЕ: З — устаревшая формулировка осталась ВНЕ границ зоны и без носителя; механизм «долг за границей зоны» ни на одну из девяти осей точно не ложится
I0014	А
I0015	А
I0016	В	СОМНЕНИЕ: К — «инструмент против контракта» стоит в списке признаков К. Держу на В по объявленному критерию: К засчитывается там, где запись НАЗЫВАЕТ рождённый обход или невозможность исполнить; здесь ЦЕНА — «расхождение тиражируется», обхода нет. Граница добавлена по требованию верификатора: раньше она была проведена молча
I0017	В	СОМНЕНИЕ: К — то же, что у I0016, и это ПОЛНОЕ расхождение с верификатором (он читает К). Его довод силён: ничто здесь не старело — оба документа одной волны, вычислимой величины нет. Мой довод: признак-на-диске гейта указывает НЕ ТУДА, где предмет живёт, то есть «якорь не существует» (подвид В). Граница объявлена, вердикт спорный
I0018	В
I0019	А
I0020	А
I0021	С
I0022	В	СОМНЕНИЕ: Н — пересужено после сверки с KRATNOST: механизм записи — «проза разошлась с верной реализацией» (В), а не «свежий взгляд» (Н); добытчик держит её отдельной группой 75, не в группе 20
I0023	В	СОМНЕНИЕ: А — правка осталась вне границ захода; тот же двойной адрес, что у I0010
I0024	Н
I0025	В
I0026	В
I0027	П	СОМНЕНИЕ: В — гейт краснеет на здоровой карточке, но первопричина в расхождении трёх документов
I0028	П
I0029	Ф
I0030	П
I0031	Н	СОМНЕНИЕ: П — пересужено: механизм записи — что свежий рецензент НЕ был обязателен, то есть ось Н в форме её отсутствия
I0032	А
I0033	И
I0034	А	СОМНЕНИЕ: Ф — цвет «Задачи» закреплён, «Определение» нет: решение по одному случаю не обобщено в канон
I0035	И
I0036	П	СОМНЕНИЕ: С — ревью по PNG вместо живого дека: проверка не того объекта (П) или недоступность канала показа (С)
I0037	А	СОМНЕНИЕ: К — заход (3 сцены) против канона (4 сцены): два обязательных указания несовместимы, но обхода не родилось, родилась потеря
I0038	А
I0039	А	СОМНЕНИЕ: И — названный источник неполон: «зона не содержит файла с ответом» против «работа по неполному источнику»
I0040	А	СОМНЕНИЕ: З — заход не назвал ветку (А), а последствие — коммиты в чужую ветку (З)
I0041	С
I0042	З
I0043	И
I0044	С
I0045	В
I0046	З
I0047	А	СОМНЕНИЕ: И — ложная предпосылка про книгу Маклейна (И), но носителем её был текст прошлого захода (А); парная запись I0048 размечена как И
I0048	И
I0049	не ложится	конфликт лицензии CC BY-NC с платной моделью курса: предметное решение владельца о правах, а не механизм поломки процесса. Похоже на К («две несовместимые обязательности»), но К про столкновение ДВУХ ПРАВИЛ ФАБРИКИ, рождающее обход, а здесь внешнее ограничение и открытое решение — ни один гейт такого не ловит и не должен
I0050	З	СОМНЕНИЕ: С — материал менялся под работой, потому что владелец докачивал сканы параллельно (З), но можно читать и как «среду предположили вместо измерения» (С)
I0051	З	СОМНЕНИЕ: С — тот же механизм, что у I0050
I0052	З
I0053	С	СОМНЕНИЕ: И — недоступность archive.org (С) привела к «не тому изданию» (И); первичен отказ среды
I0054	А	СОМНЕНИЕ: З — заход спроектирован на ложном убеждении о каноне (А), последствие — пересечение зон (З)
I0055	П
I0056	И
I0057	И	СОМНЕНИЕ: П — пересужено: работа шла по вторичному артефакту (мерке) вместо первичного силлабуса — это И; «завышенный охват» (П) вторичен
I0058	В	СОМНЕНИЕ: П — «влито в библиотеку» читалось как «прочитано»; состояние библиотеки не вычислялось ничем
I0059	П
I0060	И
I0061	П
I0062	П
I0063	П
I0064	З	СОМНЕНИЕ: К — гейт на общем файле судит вне зоны коммита (З) и потому рождает обход (К); чинится сужением охвата гейта до путей коммита, то есть это дефект зональности
I0065	Н	СОМНЕНИЕ: В — пересужено: добытчик держит эту запись в группе 20 («свежий верификатор ловит слепое пятно автора») вместе с I0024 и I0182
I0066	В
I0067	В
I0068	И
I0069	П
I0070	П
I0071	П
I0072	П
I0073	З
I0074	И
I0075	А
I0076	И
I0077	И
I0078	А
I0079	А
I0080	И
I0081	С	СОМНЕНИЕ: И — TLS-отказ среды (С) оставил вердикт на вторичных источниках (И)
I0082	С
I0083	А
I0084	П
I0085	П	СОМНЕНИЕ: С — ложный ноль грепа (П) рождён свойством OCR-файла, то есть средой (С)
I0086	П
I0087	И
I0088	А
I0089	П
I0090	И
I0091	И
I0092	В	СОМНЕНИЕ: П — стандарт отстал от практики (В), следствие — фальшиво-зелёный гейт по родам (П); парная запись I0100 размечена как К
I0093	П
I0094	З	СОМНЕНИЕ: К — тот же механизм, что у I0064
I0095	З
I0096	А	СОМНЕНИЕ: И — «не то издание» стоит в списке признаков И, но носителем ошибки запись прямо называет заход
I0097	В
I0098	В	СОМНЕНИЕ: П — расхождение двух домов (В), которое гейт читает как истину (П)
I0099	И
I0100	К	СОМНЕНИЕ: В — парная к I0092: там подчёркнуто расхождение стандарта с практикой, здесь — что исполнитель ВЫНУЖДЕН соврать в роде карточки, то есть родился обход
I0101	А
I0102	З	СОМНЕНИЕ: К — тот же механизм, что у I0064
I0103	П	СОМНЕНИЕ: С — код возврата не различает сбой вызова от результата; здесь это дефект самого гейта, а не среды
I0104	П
I0105	П
I0106	С	СОМНЕНИЕ: П — /tmp не пишется, скрипт не запускался, а лежалый файл дал правдоподобный вывод: отказ среды (С) обернулся ложным зелёным приёмки (П)
I0107	П
I0108	А
I0109	С
I0110	А	СОМНЕНИЕ: С — страховка от обрыва субагента (С) должна была стоять в каноне промпта по умолчанию; дефект — в тексте входа (А)
I0111	З
I0112	А
I0113	А
I0114	З
I0115	В
I0116	С
I0117	В
I0118	К
I0119	С
I0120	П
I0121	П
I0122	С	СОМНЕНИЕ: П — инструмент среды дал неверное измерение (С) или измерение сделано не тем прибором (П)
I0123	П	СОМНЕНИЕ: Н — нечётный фенс не проверялся ничем (П), а нашёл его верификатор (Н)
I0124	А
I0125	З
I0126	В
I0127	С
I0128	В
I0129	К
I0130	С
I0131	П
I0132	П
I0133	С	СОМНЕНИЕ: П — тот же механизм, что у I0122
I0134	С
I0135	А	СОМНЕНИЕ: С — тот же механизм, что у I0110
I0136	З
I0137	А
I0138	З	СОМНЕНИЕ: А — осиротевший lock (З) плюс заход, не предусмотревший этого случая (А)
I0139	С
I0140	А
I0141	А
I0142	З
I0143	З
I0144	В	СОМНЕНИЕ: З — gitlink без записи в .gitmodules: реестр разошёлся с состоянием (В) или дефект границ репозитория (З)
I0145	П	СОМНЕНИЕ: С — разметку нельзя проверить из песочницы (С), но записанная цена — что линтер и check_view остались ЗЕЛЁНЫМИ при выпавших телах девяти блоков (П)
I0146	П
I0147	А
I0148	П	СОМНЕНИЕ: Н — собственный отчёт не проверил собственный критерий (П); нашёл следующий заход-приёмщик (Н)
I0149	П
I0150	В	СОМНЕНИЕ: А — «91 узел» врал в шапке картотеки (В), и на этом числе стоял приёмочный критерий захода (А)
I0151	В
I0152	А
I0153	С	СОМНЕНИЕ: механизм «служебный разделитель машинного формата совпал с символом внутри содержимого» ни на одну из девяти осей не ложится чисто; отнёс к С по её принципу «свойство инструмента измеряют, а не предполагают»
I0154	В
I0155	П	СОМНЕНИЕ: Н — артефакт печатал ложное покрытие «0 из 229» (П), а поймал это независимый верификатор (Н)
I0156	В
I0157	П
I0158	В	СОМНЕНИЕ: механизм «якорная вставка перенумеровала чужой пункт» ложится плохо; отнёс к В потому, что номер пункта — производный факт, вписанный руками, и потому ломается при вставке
I0159	С
I0160	К
I0161	В
I0162	З
I0163	З	СОМНЕНИЕ: К — гейт зоны проверяет папку, контракт даёт файл: дефект зональности гейта (З), рождающий несовместимость требований (К)
I0164	П
I0165	А
I0166	З	СОМНЕНИЕ: К — тот же механизм, что у I0064
I0167	П
I0168	З
I0169	П
I0170	П	СОМНЕНИЕ: Н — систематический пропуск класса утверждений (П), выявленный независимой перепроверкой (Н)
I0171	П
I0172	А
I0173	А
I0174	З
I0175	С
I0176	П
I0177	З
I0178	З
I0179	А	СОМНЕНИЕ: В — производный факт, вписанный руками (В), но вписан он ВНУТРИ текста захода, а такие дефекты я держу на А
I0180	А
I0181	П
I0182	Н
I0183	П
I0184	К
I0185	не ложится	дефект движка рендера (в свёрнутый кат кладётся только абзац-зачин, хвост многоабзацного доказательства виден) — это этаж ПРОДУКТА, а не процесса. Прежний довод «механизм есть отсутствие проверки» отвергнут как круговой: по нему в ось П попадает любой дефект вообще. Пересужено по требованию верификатора, и он прав против меня: этот же принцип я сам объявил в DYRY, отказавшись приписывать check_view и check_termin какой-либо оси
I0186	А
I0187	С
I0188	П
I0189	П
I0190	З
I0191	П
I0192	П
I0193	П
I0194	А
I0195	П
I0196	П
I0197	П
I0198	С	СОМНЕНИЕ: А — «нет Task» стоит в списке признаков С; заход, рассчитанный на несуществующий инструмент, читается и как дефект входа (А)
I0199	П	СОМНЕНИЕ: И и А — закрытие долга словами вместо доказательства: не-проверка (П), утверждение об отсутствии без сверки (И) или механика самого задания, поощряющая такое закрытие (А)
I0200	К
I0201	П
I0202	П
I0203	П
I0204	В
I0205	К
I0206	С
I0207	С	СОМНЕНИЕ: А — тот же механизм, что у I0198
I0208	С
I0209	З	СОМНЕНИЕ: С — таймаут песочницы (С) оставил лок, блокирующий всех писателей (З)
I0210	С
I0211	З
I0212	З
I0213	З
I0214	А
I0215	А
I0216	П
I0217	А
I0218	С
I0219	П
I0220	П
I0221	П
I0222	А
I0223	Ф	СОМНЕНИЕ: А — пересужено: правило осело в отчёте внутри файла-захода и не доехало до своего дома (VYCHITANO.md), то есть знание не вернулось в носителя — это Ф; парная I0232 остаётся на А, потому что там правило В КАНОНЕ было, а не доехало до ВХОДА исполнителя
I0224	И
I0225	З
I0226	П
I0227	И
I0228	З
I0229	П
I0230	З
I0231	А
I0232	А	СОМНЕНИЕ: Ф — правило жило в каноне и не доезжало до исполнителя; починка ушла в bootstrap_zahod.py, то есть во ВХОД захода, потому А
I0233	А
I0234	А
I0235	С
I0236	П
I0237	П
I0238	П
I0239	С
I0240	З
I0241	А
I0242	А
I0243	П
I0244	С
I0245	П
I0246	П	СОМНЕНИЕ: инструмент, принимающий флаг за имя арки, ни на одну ось точно не ложится; отнёс к П, потому что чинится ловушкой фикстуры
I0247	А
I0248	К
I0249	А
I0250	П	СОМНЕНИЕ: К — узкая маска валидатора (П) запрещает исполнителю ставить ребро, которое практика требует (К)
I0251	З
I0252	В
I0253	З
I0254	З
I0255	А
I0256	З
I0257	А
I0258	К
I0259	А	СОМНЕНИЕ: З — исполнитель получил устаревшую редакцию захода (А); причина в механике worktree, то есть в зоне (З)
I0260	А	СОМНЕНИЕ: П — область чтения задана так, что теряет нерегенерируемое (А); можно читать и как непокрытый охват (П)
I0261	П
I0262	В
I0263	И
I0264	К
I0265	С	СОМНЕНИЕ: А — ложная предпосылка захода о доступности сайтов (А); первичен отказ среды (С)
I0266	А
I0267	А
I0268	К
I0269	В	СОМНЕНИЕ: П — завышенный заявленный охват: врёт число в документе (В) или врёт результат проверки (П)
I0270	В
I0271	П
I0272	П
I0273	П
I0274	П
I0275	З
I0276	И
I0277	Ф
I0278	К
I0279	Ф
I0280	С
I0281	З
I0282	К
I0283	П
I0284	П	СОМНЕНИЕ: С — единственный гейт переполнения падает (П), потому что два инструмента брали разные браузеры (С)
I0285	П
I0286	Ф
I0287	З
I0288	К
I0289	З
I0290	С
I0291	К
I0292	К
I0293	З
I0294	С
I0295	К
I0296	П	СОМНЕНИЕ: В — G7 проверяет несуществующий путь (П), а G12–G15/H6 существуют только прозой реестра (В)
I0297	И
I0298	А
I0299	П
I0300	П
I0301	П
I0302	П
I0303	П
I0304	П
I0305	П
I0306	П
I0307	П
I0308	П
I0309	П
I0310	К
I0311	З
I0312	С
I0313	К
I0314	Ф
I0315	П
I0316	В
I0317	З
I0318	П
I0319	П
I0320	П	СОМНЕНИЕ: Ф — переполнение канонного финала: отсутствие гейта (П) или баг канона, доживший до применения (Ф)
I0321	П
I0322	П
I0323	П
I0324	В	СОМНЕНИЕ: И — обсуждали нерешённым уже решённое: состояние не вычислено (В) или аналитик отвечал без сверки (И)
I0325	В
I0326	В
I0327	И
I0328	И
